,Company,TypeName,Ram,Weight,Price_MYR,Touchscreen,Ips,ppi,CPU GHz,Cpu brand,HDD,SSD,GPU Brand,Operating System
0,Apple,Ultrabook,8,1.37,3811.38,0,1,226.98300468106115,2.3,Intel Core i5,0,128,Intel,Mac
1,Apple,Ultrabook,8,1.34,2557.46,0,0,127.67794013309688,1.8,Intel Core i5,0,0,Intel,Mac
2,HP,Notebook,8,1.86,1635.86,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Intel,Others/No OS/Linux
3,Apple,Ultrabook,16,1.83,7218.97,0,1,220.53462386625827,2.7,Intel Core i7,0,512,AMD,Mac
4,Apple,Ultrabook,8,1.37,5131.19,0,1,226.98300468106115,3.1,Intel Core i5,0,256,Intel,Mac
5,Acer,Notebook,4,2.1,1137.99,0,0,100.45466986113651,3.0,AMD Processor,500,0,AMD,Windows
6,Apple,Ultrabook,16,2.04,6088.15,0,1,220.53462386625827,2.2,Intel Core i7,0,0,Intel,Mac
7,Apple,Ultrabook,8,1.34,3296.46,0,0,127.67794013309688,1.8,Intel Core i5,0,0,Intel,Mac
8,Asus,Ultrabook,16,1.3,4253.23,0,0,157.3505121487356,1.8,Intel Core i7,0,512,Nvidia,Windows
9,Acer,Ultrabook,8,1.6,2190.63,0,1,157.3505121487356,1.6,Intel Core i5,0,256,Intel,Windows
10,HP,Notebook,4,1.86,1120.63,0,0,100.45466986113651,2.5,Intel Core i5,500,0,Intel,Others/No OS/Linux
11,HP,Notebook,4,1.86,981.49,0,0,141.21199808219862,2.0,Intel Core i3,500,0,Intel,Others/No OS/Linux
12,Apple,Ultrabook,16,1.83,6941.64,0,1,220.53462386625827,2.8,Intel Core i7,0,256,AMD,Mac
13,Dell,Notebook,4,2.2,1419.35,0,0,141.21199808219862,2.0,Intel Core i3,0,256,AMD,Windows
14,Apple,Ultrabook,8,0.92,3591.49,0,1,226.41554716935852,1.2,Other Intel Processor,0,256,Intel,Mac
15,Apple,Ultrabook,8,1.37,4320.23,0,1,226.98300468106115,2.3,Intel Core i5,0,256,Intel,Mac
16,Dell,Notebook,8,2.2,2119.5,0,0,141.21199808219862,2.7,Intel Core i7,0,256,AMD,Windows
17,Apple,Ultrabook,16,1.83,8130.92,0,1,220.53462386625827,2.9,Intel Core i7,0,512,AMD,Mac
18,Lenovo,Notebook,8,2.2,1419.64,0,0,141.21199808219862,2.4,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
19,Dell,Ultrabook,8,1.22,2785.22,1,1,165.6321180513006,1.6,Intel Core i5,0,128,Intel,Windows
20,Asus,Netbook,2,0.98,545.95,0,0,135.0942111925629,1.44,Other Intel Processor,0,0,Intel,Windows
21,Lenovo,Gaming,8,2.5,2842.12,0,1,141.21199808219862,2.5,Intel Core i5,1000,128,Nvidia,Windows
22,HP,Notebook,4,1.86,734.0,0,0,100.45466986113651,1.5,AMD Processor,500,0,AMD,Others/No OS/Linux
23,Dell,2 in 1 Convertible,8,1.62,2330.03,1,0,165.6321180513006,1.6,Intel Core i5,0,256,Intel,Windows
24,HP,Ultrabook,8,1.91,1874.83,0,0,141.21199808219862,1.8,Intel Core i7,0,256,Intel,Windows
25,Dell,Notebook,4,2.3,1191.02,0,0,100.45466986113651,2.0,Intel Core i3,1000,0,Intel,Windows
26,Apple,Ultrabook,8,1.35,3126.62,0,0,127.67794013309688,1.6,Intel Core i5,0,0,Intel,Mac
27,Dell,Notebook,8,2.2,2275.97,0,0,141.21199808219862,1.6,Intel Core i5,0,256,AMD,Windows
28,Dell,Ultrabook,8,1.88,3692.77,0,0,141.21199808219862,1.9,Intel Core i7,0,512,Intel,Windows
29,HP,Notebook,8,2.5,2549.09,0,0,127.33567457123111,1.6,Intel Core i5,1000,0,Nvidia,Windows
30,Chuwi,Notebook,4,1.89,696.99,0,0,141.21199808219862,1.44,Other Intel Processor,0,0,Intel,Windows
31,Asus,Notebook,2,1.65,566.15,0,0,111.93520355955211,1.5,AMD Processor,0,0,AMD,Windows
32,HP,Notebook,4,2.71,1248.94,0,0,127.33567457123111,2.5,AMD Processor,500,0,AMD,Windows
33,Dell,Ultrabook,16,1.2,5317.25,1,0,276.053530085501,1.8,Intel Core i7,0,512,Intel,Windows
34,Apple,Ultrabook,8,1.35,2839.28,0,0,127.67794013309688,1.6,Intel Core i5,0,0,Intel,Mac
35,Lenovo,Notebook,4,1.44,708.4,0,0,111.93520355955211,1.1,Other Intel Processor,0,0,Intel,Windows
36,Acer,Notebook,4,2.1,1044.1,0,0,100.45466986113651,2.7,Intel Core i3,1000,0,Intel,Others/No OS/Linux
37,Dell,Notebook,8,2.8,2785.22,0,1,127.33567457123111,1.6,Intel Core i5,1000,128,AMD,Windows
38,HP,Notebook,4,1.86,1390.31,0,0,100.45466986113651,2.5,Intel Core i5,1000,0,Intel,Windows
39,HP,Notebook,8,2.1,2500.73,0,0,141.21199808219862,1.6,Intel Core i5,0,256,Nvidia,Windows
40,Asus,Notebook,4,2.0,1106.69,0,0,141.21199808219862,2.0,Intel Core i3,1000,0,Intel,Others/No OS/Linux
