Company,TypeName,Ram,Weight,Price_MYR,Touchscreen,Ips,ppi,CPU GHz,Cpu brand,HDD,SSD,GPU Brand,Operating System
Apple,Ultrabook,8,1.37,3811.38,0,1,226.9830047,2.3,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,1.34,2557.46,0,0,127.6779401,1.8,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,1.86,1635.86,0,0,141.2119981,2.5,Intel Core i5,0,256,Intel,Others/No OS/Linux
Apple,Ultrabook,16,1.83,7218.97,0,1,220.5346239,2.7,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,1.37,5131.19,0,1,226.9830047,3.1,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,4,2.1,1137.99,0,0,100.4546699,3,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,16,2.04,6088.15,0,1,220.5346239,2.2,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,3296.46,0,0,127.6779401,1.8,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,1.3,4253.23,0,0,157.3505121,1.8,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,8,1.6,2190.63,0,1,157.3505121,1.6,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.86,1120.63,0,0,100.4546699,2.5,Intel Core i5,500,0,Intel,Others/No OS/Linux
HP,Notebook,4,1.86,981.49,0,0,141.2119981,2,Intel Core i3,500,0,Intel,Others/No OS/Linux
Apple,Ultrabook,16,1.83,6941.64,0,1,220.5346239,2.8,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,2.2,1419.35,0,0,141.2119981,2,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,0.92,3591.49,0,1,226.4155472,1.2,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,8,1.37,4320.23,0,1,226.9830047,2.3,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,8,2.2,2119.5,0,0,141.2119981,2.7,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,1.83,8130.92,0,1,220.5346239,2.9,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,8,2.2,1419.64,0,0,141.2119981,2.4,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
Dell,Ultrabook,8,1.22,2785.22,1,1,165.6321181,1.6,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,0.98,545.95,0,0,135.0942112,1.44,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,2842.12,0,1,141.2119981,2.5,Intel Core i5,1000,128,Nvidia,Windows
HP,Notebook,4,1.86,734,0,0,100.4546699,1.5,AMD Processor,500,0,AMD,Others/No OS/Linux
Dell,2 in 1 Convertible,8,1.62,2330.03,1,0,165.6321181,1.6,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,1.91,1874.83,0,0,141.2119981,1.8,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,2.3,1191.02,0,0,100.4546699,2,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,1.35,3126.62,0,0,127.6779401,1.6,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,2275.97,0,0,141.2119981,1.6,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,1.88,3692.77,0,0,141.2119981,1.9,Intel Core i7,0,512,Intel,Windows
HP,Notebook,8,2.5,2549.09,0,0,127.3356746,1.6,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,696.99,0,0,141.2119981,1.44,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,1.65,566.15,0,0,111.9352036,1.5,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,2.71,1248.94,0,0,127.3356746,2.5,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,16,1.2,5317.25,1,0,276.0535301,1.8,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,1.35,2839.28,0,0,127.6779401,1.6,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,708.4,0,0,111.9352036,1.1,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,2.1,1044.1,0,0,100.4546699,2.7,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,2.8,2785.22,0,1,127.3356746,1.6,Intel Core i5,1000,128,AMD,Windows
HP,Notebook,4,1.86,1390.31,0,0,100.4546699,2.5,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,2.1,2500.73,0,0,141.2119981,1.6,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,2,1106.69,0,0,141.2119981,2,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Gaming,16,2.65,4264.61,0,1,141.2119981,2.8,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,8,2.3,1487.89,0,0,100.4546699,2.5,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
Acer,Notebook,4,2.2,1940.27,0,1,141.2119981,1.6,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,2842.12,1,0,127.3356746,1.6,Intel Core i5,1000,0,Nvidia,Windows
